#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,location
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:02:40Z,124,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:02:50Z,158.33333333333334,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:00Z,213.33333333333334,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:10Z,84.25,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:20Z,118,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:30Z,216.33333333333334,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:40Z,133.75,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:03:50Z,143.66666666666666,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:00Z,101,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:10Z,93.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:20Z,84,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:30Z,60,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:40Z,151,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:04:50Z,160,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:00Z,113.66666666666667,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:10Z,53,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:20Z,151,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:30Z,65,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:40Z,155.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:05:50Z,47.666666666666664,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:00Z,174.66666666666666,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:10Z,104.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:20Z,138,ECU_control,telemetry_data,sensor,car
